name,label,group,n_used,verdict,p_structure,p_boot,dim2,atom,z_cyc3,z_cyc7,z_cyc8,z_cyc12,z_hash,acf,pe,fft,quantized,uniq_ratio,source,note
logistic_r3.90,Chaos,map,10000,Chaos,0.0033222591362126247,0.01,0.9777323836130992,0.06035878068519018,64.07203407470064,69.9059719506594,239.45566439115626,68.95316236222072,5.35700893775801,0.2853843356778355,0.7739140593283435,0.008890017730640671,False,1.0,synthetic,lyap=0.4964
logistic_r4.00,Chaos,map,10000,Chaos,0.0033222591362126247,0.01,0.982091349139619,0.06597316040709718,132.5915955104555,111.72271467116512,373.80884264911367,49.86977976828722,8.655476300392321,0.027038717329253784,0.6819327567161072,0.004567060700581767,False,1.0,synthetic,lyap=0.6931
henon_SNR10dB,Mixed,mixed,10000,NonlinStoch,0.0033222591362126247,0.01,nan,0.9214311398777417,37.107689291535465,46.013514969377574,96.1699545072607,36.65536008401189,1.8632358125299409,0.333813511651985,0.8406598892117318,0.008467937421979033,False,1.0,synthetic,
henon_SNR20dB,Mixed,mixed,10000,Chaos,0.0033222591362126247,0.01,nan,0.765625,46.03748626853896,62.00421963028272,131.2809839258062,47.32876310057616,2.5141174180780124,0.36448333258845217,0.7374438693559343,0.009368623398488663,False,1.0,synthetic,
henon_SNR5dB,Mixed,mixed,10000,NonlinStoch,0.0033222591362126247,0.01,nan,0.9643033098938506,20.228971897868,24.028641119378555,39.24302334129558,17.460716378319333,1.1622505192173298,0.2761603203509931,0.9246061236825136,0.007789968999302525,False,1.0,synthetic,
logistic_SNR10dB,Mixed,mixed,10000,NonlinStoch,0.0033222591362126247,0.01,nan,0.92060393951631,46.694089260624715,41.83083917199574,108.48134592479364,35.489686523920724,3.6039643961081516,0.026117219162422663,0.9049457784158677,0.00463635168962829,False,1.0,synthetic,
logistic_SNR20dB,Mixed,mixed,10000,Chaos,0.0033222591362126247,0.01,1.6801015324203947,0.7550887147617761,94.70187573638601,79.1153007812207,206.06192510027955,54.77969640967526,3.895160165421451,0.024904701955166923,0.8122073403029972,0.004538569209921351,False,1.0,synthetic,
logistic_SNR5dB,Mixed,mixed,10000,NonlinStoch,0.0033222591362126247,0.01,nan,0.970765629923032,19.891591089645186,20.445574479809256,47.41614764919813,19.01886773279959,0.30110896065132947,0.023630126320438375,0.9575103330170389,0.004940143818641543,False,1.0,synthetic,
circle_map_qp,Regular,periodic,10000,Regular,0.0033222591362126247,0.01,0.9756203134146854,0.08984120566898007,62.29775742879027,92.62604194689992,228.29416057513586,46.50334012330243,13.569264409522958,0.9999533597483161,0.5412275734594064,0.9962825681475845,False,1.0,synthetic,
quasi_sine_sum,Regular,periodic,10000,Regular,0.0033222591362126247,0.56,1.539119888929188,0.48481913599711696,164.4867981511982,246.20533032670494,676.1798647184902,169.67090074197614,5.2822462627030955,0.9917833953760292,0.4532444079601324,0.7788115214115934,False,1.0,synthetic,
